SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1142	SEEDGWAS1142.MRG.4.250070152	G27041	CIMMYTMA-019969		7	5	1213	18.76666667	-98.98333333	3.37675894268456	CIMMYTMA
SEEDGWAS1144	SEEDGWAS1144.MRG.4.250070154	G27416	CIMMYTMA-021264	1973-12-06	7	5	1345	17.576119	-99.385656	3.42125818035309	CIMMYTMA
SEEDGWAS115	SEEDGWAS115.MRG.4.250054528	G8829	CIMMYTMA-002110	1948-01-01	7	5	17	19.766667	-90.233333	6.29007154172351	CIMMYTMA
SEEDGWAS1161	SEEDGWAS1161.MRG.4.250070169	G28896	CIMMYTMA-025078		7	5	1230	18.83	-97.1	1.96208780582776	CIMMYTMA
SEEDGWAS1166	SEEDGWAS1166.MRG.4.250070172	G500	CIMMYTMA-000064	1947-01-01	7	5	123	17.678521	-101.303874	5.34054918992391	CIMMYTMA
SEEDGWAS117	SEEDGWAS117.MRG.4.250054530	G8844	CIMMYTMA-002118	1948-01-01	7	5	95	18.572773	-90.740704	5.41518072781298	CIMMYTMA
SEEDGWAS1170	SEEDGWAS1170.MRG.4.250070176	G1481	CIMMYTMA-000143	1952-02-14	7	5	23	18.75	-103.666667	7.83484086912077	CIMMYTMA
SEEDGWAS1173	SEEDGWAS1173.MRG.4.250070179	G1561	CIMMYTMA-000150	1952-01-01	7	5	302	19.08164	-102.373599	6.65684789081777	CIMMYTMA
SEEDGWAS1174	SEEDGWAS1174.MRG.4.250070180	G1680	CIMMYTMA-000163	1952-02-04	7	5	302	19.08164	-102.373599	6.65684789081777	CIMMYTMA
SEEDGWAS1175	SEEDGWAS1175.MRG.4.250070181	G1823	CIMMYTMA-000165	1952-02-04	7	5	302	19.08164	-102.373599	6.65684789081777	CIMMYTMA
SEEDGWAS1177	SEEDGWAS1177.MRG.4.250070183	G1961	CIMMYTMA-000205	1946-01-01	7	5	265	18.300591	-100.69796	4.83762327872944	CIMMYTMA
SEEDGWAS1183	SEEDGWAS1183.MRG.4.250070188	G3451	CIMMYTMA-000417	1953-02-06	6	4	220	24.041477	-99.205617	7.54726080858188	CIMMYTMA
SEEDGWAS1184	SEEDGWAS1184.MRG.4.250070189	G5530	CIMMYTMA-000472	1944-01-01	8	6	17	20.480001	-97.097646	3.44833905779652	CIMMYTMA
SEEDGWAS1188	SEEDGWAS1188.MRG.4.250070193	G5809	CIMMYTMA-000601	1946-01-01	7	5	913	19.772796	-104.344955	8.74359868335258	CIMMYTMA
SEEDGWAS1189	SEEDGWAS1189.MRG.4.250070194	G5926	CIMMYTMA-000705	1947-01-01	7	5	827	18.9	-96.91666667	1.92476536971254	CIMMYTMA
SEEDGWAS12	SEEDGWAS12.MRG.4.250054454	G5519	CIMMYTMA-000467	1959-01-01	8	6	8	20.2	-96.85	3.1066682278251	CIMMYTMA
SEEDGWAS121	SEEDGWAS121.MRG.4.250054534	G8972	CIMMYTMA-002288	1950-01-01	7	5	104	21.5667	-98.8167	5.19141172108108	CIMMYTMA
SEEDGWAS122	SEEDGWAS122.MRG.4.250054535	G9003	CIMMYTMA-002299	1952-01-26	7	5	154	21.26317	-98.746052	4.89967374444156	CIMMYTMA
SEEDGWAS123	SEEDGWAS123.MRG.4.250054536	G9051	CIMMYTMA-002303	1952-01-25	7	5	82	21.951043	-99.015491	5.62212577646036	CIMMYTMA
SEEDGWAS1254	SEEDGWAS1254.MRG.4.250070280	G8134	CIMMYTMA-001742	1946-01-01	7	5	19	21.847885	-105.177805	10.2949742846842	CIMMYTMA
SEEDGWAS1263	SEEDGWAS1263.MRG.4.250070290	G8391	CIMMYTMA-001944	1952-01-27	7	5	158	21.15	-98.416667	4.62517273671427	CIMMYTMA
SEEDGWAS1267	SEEDGWAS1267.MRG.4.250070295	G9215	CIMMYTMA-002319	1952-03-05	10	8	110	26.888903	-99.614777	10.3314826992466	CIMMYTMA
SEEDGWAS1268	SEEDGWAS1268.MRG.4.250070296	G9347	CIMMYTMA-002342	1952-02-03	7	5	731	18.85	-96.9	1.87298026625429	CIMMYTMA
SEEDGWAS1293	SEEDGWAS1293.MRG.4.250070317	G9798	CIMMYTMA-002545	1953-02-07	6	4	227	24.015674	-99.223726	7.53170916728056	CIMMYTMA
SEEDGWAS13	SEEDGWAS13.MRG.4.250054455	G5528	CIMMYTMA-000470	1943-01-01	8	6	31	20.474435	-97.113749	3.44831736864228	CIMMYTMA
SEEDGWAS1303	SEEDGWAS1303.MRG.4.250070327	G11629	CIMMYTMA-003264	1959-07-08	7	5	97	21.320028	-97.699529	4.44779723084776	CIMMYTMA
SEEDGWAS139	SEEDGWAS139.MRG.4.250056107	G9773	CIMMYTMA-002539	1950-01-01	7	5	182	21.544818	-98.905924	5.22249262633103	CIMMYTMA
SEEDGWAS141	SEEDGWAS141.MRG.4.250056108	G9801	CIMMYTMA-002550	1948-01-01	8	6	109	20.43027778	-97.382222	3.50488012343549	CIMMYTMA
SEEDGWAS142	SEEDGWAS142.MRG.4.250056109	G9803	CIMMYTMA-002554	1959-07-02	8	6	12	20.547635	-97.129731	3.52272283772482	CIMMYTMA
SEEDGWAS1467	SEEDGWAS1467.MRG.4.250070407	G19387	CIMMYTMA-005962	1970-02-12	7	5	778	17.03333333	-97.95	1.9751937432679	CIMMYTMA
SEEDGWAS1478	SEEDGWAS1478.MRG.4.250070417	G20661	CIMMYTMA-007044	1968-11-15	7	5	31	20.81666667	-105.1833333	9.87927138730383	CIMMYTMA
SEEDGWAS1479	SEEDGWAS1479.MRG.4.250070418	G20662	CIMMYTMA-007046	1968-11-15	7	5	31	20.81666667	-105.1833333	9.87927138730383	CIMMYTMA
SEEDGWAS1485	SEEDGWAS1485.MRG.4.250070423	G20745	CIMMYTMA-007121	1968-11-27	7	5	45	23.365893	-106.44719	12.1369388115589	CIMMYTMA
SEEDGWAS1486	SEEDGWAS1486.MRG.4.250070424	G20754	CIMMYTMA-007122	1968-01-01	7	5	13	23.201203	-106.303401	11.9297307035792	CIMMYTMA
SEEDGWAS1487	SEEDGWAS1487.MRG.4.250070425	G20841	CIMMYTMA-007158	1968-11-30	7	5	129	24.71666667	-107.2166667	13.5069530637208	CIMMYTMA
SEEDGWAS1488	SEEDGWAS1488.MRG.4.250070426	G20908	CIMMYTMA-007178	1968-01-01	7	5	259	25.408895	-107.562256	14.183936598981	CIMMYTMA
SEEDGWAS1490	SEEDGWAS1490.MRG.4.250070427	G20917	CIMMYTMA-007189	1968-01-01	7	5	75	26.421574	-108.639475	15.6495445046434	CIMMYTMA
SEEDGWAS1492	SEEDGWAS1492.MRG.4.250070428	G20919	CIMMYTMA-007193	1968-01-01	7	5	244	26.63333333	-108.6333333	15.7701018500375	CIMMYTMA
SEEDGWAS1493	SEEDGWAS1493.MRG.4.250070429	G20941	CIMMYTMA-007221	1968-01-01	7	5	62	25.81666667	-108.2333333	14.9673812563855	CIMMYTMA
SEEDGWAS1494	SEEDGWAS1494.MRG.4.250070430	G20945	CIMMYTMA-007231	1968-01-01	7	5	243	24.97268	-106.983531	13.4595725673356	CIMMYTMA
SEEDGWAS1495	SEEDGWAS1495.MRG.4.250070431	G20990	CIMMYTMA-007273	1968-12-12	7	5	401	28.11666667	-109.3	17.2088236900402	CIMMYTMA
SEEDGWAS1496	SEEDGWAS1496.MRG.4.250070432	G21000	CIMMYTMA-007288	1968-12-01	7	5	1546	28.353628	-108.931234	17.0786428214107	CIMMYTMA
SEEDGWAS15	SEEDGWAS15.MRG.4.250054457	G5531	CIMMYTMA-000474	1959-07-05	7	5	51	20.998948	-97.505195	4.07697357239472	CIMMYTMA
SEEDGWAS1553	SEEDGWAS1553.MRG.4.250070473	G24086	CIMMYTMA-013332	1973-11-28	7	5	270	18.23333333	-100.5166667	4.64593638162549	CIMMYTMA
SEEDGWAS1554	SEEDGWAS1554.MRG.4.250070474	G24090	CIMMYTMA-013336	1943-01-01	7	5	271	23.3	-99.01666667	6.79765058990565	CIMMYTMA
